Altitude_ft,DeltaISA_C,RPM,POH_KTAS,POH_PercentMCP,POH_FuelFlow_GPH,Density_kgpm3,AdvanceRatio,LiftCoefficient,EnginePower_kW,CurrentPolarPowerRequired_kW,CurrentPolarEtaImplied,ExternalPolarPowerRequired_kW,ExternalPolarEtaImplied,HaberkornPowerRequired_kW,HaberkornEtaImplied,CurrentProxyEta,CurrentProxyPowerMargin_kW
8000,0,2200,92,43,6.5,0.962870012922577,0.668662848962062,0.649265084927299,57.7171700604677,40.8931101531377,0.708508579167963,45.3044394116994,0.784938682271427,34.7919014626107,0.602799850134038,0.843154189017121,7.77136356155929
8000,0,2300,99,48,7.1,0.962870012922577,0.688255049640534,0.560695814592864,64.4284689047082,45.0737497857922,0.699593681986418,50.2208811951025,0.779482766684722,40.3828924754594,0.626786468186711,0.846044089096198,9.43557550055433
8000,0,2400,106,54,7.8,0.962870012922577,0.706214566929134,0.489086835068054,72.4820275177967,50.2622644529623,0.693444515478286,56.2791328911065,0.776456382615513,47.1289263804591,0.650215342953637,0.848093657992154,11.2092834032938
8000,0,2500,112,61,8.6,0.962870012922577,0.716341417322835,0.438088303477731,81.8778458997333,55.5318294473272,0.678227777454366,62.4059488039129,0.76218356892699,53.8701696033654,0.657933400804587,0.849004393952602,13.9828214889205
8000,0,2600,119,68,9.4,0.962870012922577,0.731839188370685,0.388064379551208,91.2736642816699,62.6689173249892,0.686604595292606,70.6799605831926,0.774374088511169,62.9041994382002,0.689182360906189,0.849870466725923,14.9018743378588
8000,0,2650,122,72,9.9,0.962870012922577,0.736132521170703,0.369213899410418,96.6427033570622,66.0628039921157,0.683577773564921,74.6079544748313,0.771997801005008,67.1754360957505,0.695090614834726,0.849970219335815,16.0806157774925
8000,0,2700,124,77,10.4,0.962870012922577,0.734344706911636,0.357399823024497,103.354002201303,68.4395304148253,0.662185585049,77.3568196704005,0.748464675027606,70.1597214552651,0.678829266027018,0.849936935465739,19.4048534842691
10000,0,2300,97,46,6.8,0.904636906558545,0.674350907223554,0.621652371401229,61.743949367012,43.3285014707602,0.701744898325364,48.0849718242758,0.778780306689714,37.4401762758782,0.606378060679764,0.844176780348781,8.7943069119021
10000,0,2400,104,51,7.5,0.904636906558545,0.692889763779528,0.540784685883336,68.4552482112524,47.7824859334709,0.698010556999435,53.3107093784588,0.77876730815353,43.3419389116589,0.633142674143931,0.846610660608434,10.1724569767718
10000,0,2500,111,57,8.2,0.904636906558545,0.709945511811024,0.474728281999364,76.5088068243409,53.2192005773829,0.695595746246189,59.6506528101358,0.779657339933292,50.3758028866038,0.658431427407609,0.848455295950209,11.6951017595606
